original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
586,776,αποβιβάζομαι,αποβιβάζομαι,выходить (из транспорта),,,,,,,,
587,777,απογειώνομαι,απογειώνομαι,взлетать,,,,,,,,
593,778,αρνούμαι,αρνούμαι,"отказываться, отрицать",,,,,,,,
602,779,βάζω στόχο,βάζω στόχο,ставить цель,,,,,,,,
603,780,βάζω τραπέζι,βάζω τραπέζι,накрывать на стол,,,,,,,,
609,781,βρίσκομαι,βρίσκομαι,находиться,,,,,,,,
611,782,γεννιέμαι,γεννιέμαι,рождаться,,,,,,,,
626,783,δίνω δώρο,δίνω δώρο,дарить подарок,,,,,,,,
627,784,δίνω εξετάσεις,δίνω εξετάσεις,сдавать экзамены,,,,,,,,
628,785,δίνω σημασία,δίνω σημασία,"обращать внимание, придавать значение",,,,,,,,
629,786,δίνω συμβουλή,δίνω συμβουλή,давать совет,,,,,,,,
632,787,έβρεξε,έβρεξε,шел дождь,,,,,,,,
634,788,εκπλήσσομαι,εκπλήσσομαι,"удивляться, поражаться",,,,,,,,
640,789,επιβιβάζομαι,επιβιβάζομαι,садиться (в транспорт),,,,,,,,
660,790,κάνει ζέστη,κάνει ζέστη,жарко (о погоде),,,,,,,,
669,791,κολυμπώ,κολυμπώ,плавать,,,,,,,,
671,792,κόστισε,κόστισε,стоил,,,,,,,,
675,793,λέγομαι,λέγομαι,"называться, зваться",,,,,,,,
676,794,λεγόμουν,λεγόμουν,меня звали,,,,,,,,
680,795,λούζομαι,λούζομαι,"мыться, купаться",,,,,,,,
689,796,μοιράζομαι,μοιράζομαι,"делиться, разделять",,,,,,,,
697,797,ξεκινώ,ξεκινώ,"начинать, отправляться",,,,,,,,
702,798,ξυπνώ,ξυπνώ,просыпаться,,,,,,,,
710,799,παραδίδω,παραδίδω,"сдавать, передавать",,,,,,,,
727,800,πόνεσα,πόνεσα,у меня болело,,,,,,,,
734,801,προσγειώνομαι,προσγειώνομαι,приземляться,,,,,,,,
745,802,ρίχνω μια ματιά,ρίχνω μια ματιά,"бросить взгляд, взглянуть",,,,,,,,
748,803,σηκώνομαι,σηκώνομαι,"вставать, подниматься",,,,,,,,
767,804,συναντιέμαι,συναντιέμαι,встречаться,,,,,,,,
798,805,χρησιμοποιούμαι,χρησιμοποιούμαι,использоваться,,,,,,,,
