original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
230,698,η σοκολάτα,σοκολάτα,шоколад,8830,3.8,2.0,3.305,noun,σοκολάτα,exact,
269,699,το τετράδιο,τετράδιο,тетрадь,8946,3.7,1.1,3.052,noun,τετράδιο,exact,
280,700,η τούρτα,τούρτα,торт,9415,3.3,2.7,3.435,noun,τούρτα,exact,
435,701,μαγειρικός,μαγειρικός,кулинарный,9758,3.1,0.0,1.327,adj,μαγειρικός,exact,
47,702,η κολύμβηση,κολύμβηση,плавание,9927,3.0,1.5,3.185,noun,κολύμβηση,exact,
58,703,ο κουμπάρος,κουμπάρος,"кум, крёстный отец",9928,3.0,1.0,3.009,noun,κουμπάρος,exact,
231,704,η σούπα,σούπα,суп,10012,2.9,2.1,3.327,noun,σούπα,exact,
128,705,η ντουλάπα,ντουλάπα,шкаф,10070,2.9,2.1,3.327,noun,ντουλάπα,exact,
126,706,η νοσηλεύτρια,νοσηλεύτρια,медсестра,10330,2.8,0.8,2.919,noun,νοσηλεύτρια,exact,
30,707,το κάστανο,κάστανο,каштан,10399,2.7,0.1,2.106,noun,κάστανο,exact,
800,708,χτενίζω,χτενίζω,расчёсывать,10413,2.7,0.0,1.327,verb,χτενίζω,exact,
773,709,συσκευάζω,συσκευάζω,"упаковывать, собирать чемодан",10470,2.7,0.0,1.327,verb,συσκευάζω,exact,
224,710,ο σερβιτόρος,σερβιτόρος,официант,10488,2.7,0.9,2.961,noun,σερβιτόρος,exact,
219,711,η σαλάτα,σαλάτα,салат,10583,2.6,1.8,3.262,noun,σαλάτα,exact,
448,712,νόστιμος,νόστιμος,вкусный,10637,2.6,0.1,2.106,adj,νόστιμος,exact,
106,713,η μονοκατοικία,μονοκατοικία,частный дом,10734,2.6,1.4,3.154,noun,μονοκατοικία,exact,
167,714,η πεθερά,πεθερά,"свекровь, тёща",10783,2.5,2.2,3.344,noun,πεθερά,exact,
115,715,το μπισκότο,μπισκότο,печенье,10824,2.5,0.1,2.106,noun,μπισκότο,exact,
124,716,η νονά,νονά,крестная мать,11169,2.3,1.4,3.154,noun,νονά,exact,
122,717,η νόηση,νόηση,мышление,11431,2.2,1.2,3.083,noun,νόηση,exact,
444,718,μοβ,μοβ,фиолетовый,11621,2.1,2.1,3.327,adj,μοβ,exact,
407,719,ηλιόλουστος,ηλιόλουστος,солнечный,12123,2.0,0.1,2.106,adj,ηλιόλουστος,exact,
80,720,ο μάγειρας,μάγειρας,повар,12592,1.8,0.9,2.961,noun,μάγειρας,exact,
133,721,ο ξάδερφος,ξάδερφος,двоюродный брат,12882,1.7,0.3,2.504,noun,ξάδερφος,exact,
772,722,συνταγογραφώ,συνταγογραφώ,выписывать рецепт,13713,1.5,0.0,1.327,verb,συνταγογραφώ,exact,
168,723,ο πεθερός,πεθερός,"свёкор, тесть",13856,1.4,0.5,2.725,noun,πεθερός,exact,
365,724,βροχερός,βροχερός,дождливый,13887,1.4,0.3,2.504,adj,βροχερός,exact,
381,725,δίκλινος,δίκλινος,двухместный,13888,1.4,0.0,1.327,adj,δίκλινος,exact,
49,726,το κομμωτήριο,κομμωτήριο,парикмахерская,14012,1.4,0.8,2.919,noun,κομμωτήριο,exact,
450,727,ξινός,ξινός,кислый,14202,1.3,0.1,2.106,adj,ξινός,exact,
170,728,η πελάτισσα,πελάτισσα,клиентка,14428,1.3,0.5,2.725,noun,πελάτισσα,exact,
296,729,το υπνοδωμάτιο,υπνοδωμάτιο,спальня,14559,1.3,0.7,2.859,noun,υπνοδωμάτιο,exact,
343,730,αγενής,αγενής,"невежливый, грубый",15129,1.1,0.4,2.628,adj,αγενής,exact,
504,731,χωριάτικος,χωριάτικος,"деревенский, сельский",15466,1.1,0.0,1.327,adj,χωριάτικος,exact,
364,732,βραστός,βραστός,вареный,15743,1.0,0.0,1.327,adj,βραστός,exact,
351,733,αντιπαθητικός,αντιπαθητικός,"неприятный, несимпатичный",16151,1.0,0.3,2.504,adj,αντιπαθητικός,exact,
181,734,το πιπέρι,πιπέρι,перец (приправа),16306,0.9,0.8,2.919,noun,πιπέρι,exact,
62,735,το κρεοπωλείο,κρεοπωλείο,мясная лавка,16656,0.9,0.1,2.106,noun,κρεοπωλείο,exact,
238,736,η στεναχώρια,στεναχώρια,"расстройство, огорчение",16690,0.9,0.8,2.919,noun,στεναχώρια,exact,
